,ques,answer
382,"however, the provisions of section 206aa shall not apply to a non-resident, not being a company, or to a foreign company, in respect of",i)payment of interest on long-term bonds as referred to in section 194LC; andii)any other payment subject to such conditions as may be prescribed.
383,can an online application be made for allotment of tan?,Yes. The application can be made online through https://www.tin-nsdl.com
384,i have 5 separate let out properties. should i calculate the house property income separately for each individual property or by clubbing all the rental receipts in one calculation?,The calculation will have to be made separately for each of the properties.
385,i checked the status of my it return and it is displayed as 'refund returned'. how can i apply for it again?,"LOGIN and GO TO 'My Account' 'Refund Re-issue request'. Select the mode of re- receiving refund- ECS or Cheque, Provide Bank Account number (if changed) and Provide Address details."
386,"if the aggregate value of gift received during the year by an individual or huf exceeds rs. 50,000, whether total amount of gift will be charged to tax or only the amount in excess of rs. 50,000 will be charged to tax?","Sum of money received without consideration by an individual or HUF is charged to tax if the aggregate value of such sum received during the year exceeds Rs. 50,000. Once the aggregate value of monetary gift received during the year exceeds Rs. 50,000, then the aggregate value of gift received during the year will be charged to tax."
387,what is current account transaction?,"As defined inSection 2(j) of the FEMA, ""current account transaction"" means a transaction other than a capital account transaction and without prejudice to the generality of the foregoing such transaction includes :Payments due in connection with foreign trade, other current business, services and short-term banking and credit facilities in the ordinary course of business,Payments due as interest on loans and as net income from investments,Remittances for living expenses of parents, spouse and children residing abroad, andExpenses in connection with foreign travel, education and medical care of parents, spouse and children.In terms ofsection 5of the FEMA, Any person may sell or draw foreign exchange to or from an authorized person if such sale or drawl is a current account transaction provided that Central Government may, in public interest and in consultation with the Reserve Bank, impose such reasonable restrictions for current account transactions as may be prescribed. ."
388,should government deductors apply for tan?,Yes
389,which incomes are deemed to be received in india?,Following incomes are treated as incomes deemed to be received in India:Interest credited to recognised provident fund account of an employee in excess of 9.5% per annum.Employer's contribution to recognised provident fund in excess of 12% of the salary of the employee.Transferred balance in case of reorganisation of unrecognised provident fund.Contribution by the Central Government or other employer to the account of the employee in case of notified pension scheme refered to insection 80CCD.
390,what is assessment under section 143(3)?,"This is a detailed assessment and is referred to as scrutiny assessment. At this stage, a detailed scrutiny of the return of income will be carried out. The scrutiny is carried out to confirm the correctness and genuineness of various claims, deductions, etc., made by the taxpayer in the return of income."
391,what precautions should be taken while filing the return of income?,"Following is the list of few important steps/points/precautions to be kept in mind while filing the return of income:The first and foremost precaution is to file the return of income on or before the due date. Taxpayers should avoid the practice of filing belated return. Following are the consequences of delay in filing the return of income :Loss (other than house property loss) cannot be carried forward.Levy of interest undersection 234A.Penalty of Rs. 5,000 undersection 271Fcan be levied.Exemptions/deductions undersection 10A,section 10B,80-IA,80-IAB,80-IB,80-IC,80-IDand80-IEare not available.Belated return cannot be revised undersection 139(5). However, w.e.f. 01-04-2017, income-tax return for the Assessment Year 2017-18 and onwards filed undersection 139(1)orsection 139(4)[belated return can also be revised.Taxpayer should download Form 26AS and should confirm actual TDS/TCS/Tax paid. If any discrepancy is observed then suitable action should be taken to reconcile it.Compile and carefully study the documents to be used while filing the return of income like bank statement/passbook, interest certificate, investment proofs for which deductions is to be claimed, books of account and balance sheet and P/L A/c (if applicable), etc. No documents are to be attached along with the return of income.The taxpayer should identify the correct return form applicable in his case.Carefully provide all the information in the return form.Confirm the calculation of total income, deductions (if any), interest (if any), tax liability/refund, etc. If any tax is payable as per the return of income, then the same should be paid before filing the return of income, otherwise return would be treated as defective return.Ensure that other details like PAN, address, e-mail address, bank account details, etc., are correct.After filling all the details in the return of income and after confirmation of all the details, one can proceed with filing the return of income.In case return is filed electronically without digital signature and without electronic verification code do not forget to post the acknowledgement of filing the return of income at CPC Bangalore (as discussed earlier).For details on e-filing please logon towww.incometaxindiaefiling.gov.in"
392,what documents and information have to be submitted along with the pan application in form 49a/49aa?,"The documents required to be submitted with the PAN application are specified in Rule 114 of the Income-tax Rules. The details of the documents required are also provided in the application form. Individual applicants have to provide document pertaining to proof of identity, proof of address and proof of date of birth. The name of the applicant as mentioned in application form and the name appearing in the documents submitted along with the application should match exactly.Individual applicants should affix two recent colour photographs with white background (size 3.5 cm x 2.5 cm) in the space provided on the form. The photographs should not be stapled or clipped to the form. The clarity of image on PAN card will depend on the quality and clarity of photograph affixed on the form."
393,what are the provisions framed under the income-tax law in relation to carry forward and set off of business loss other than loss from speculative business?,"If loss of any business/profession (other than speculative business) cannot be fully adjusted in the year in which it is incurred, then the unadjusted loss can be carried forward for making adjustment in the next year. In the subsequent year(s) such loss can be adjusted only against income charged to tax under the head ""Profits and gains of business or profession"".Loss under the head ""Profits and gains of business or profession"" can be carried forward only if the return of income/loss of the year in which loss is incurred is furnished on or before the due date of furnishing the return, as prescribed undersection 139(1).Such loss can be carried forward for eight years immediately succeeding the year in which the loss is incurred.Above provisions are not applicable in case of unabsorbed depreciation (provisions relating to unabsorbed depreciation are discussed later).Loss from business specified undersection 35AD cannot be set off against any other income except income from specified business (section 35ADis applicable in respect of certain specified businesses like setting up a cold chain facility, setting up and operating warehousing facility for storage of agricultural produce, developing and building a housing projects, etc.). Such loss can be carried forward for adjustment against income from specified business for any number of years.Loss from Specified business undersection 35AD cannot be carried forward unless it has been determined in pursuance of return filed in accordance with the provisions of Section 139(3).Loss from the business of owning and maintaining race horses cannot be set off against any income other than income from the business of owning and maintaining race horses. Such loss can be carried forward only for a period of 4 years."
394,"if a person adopts the presumptive taxation scheme of section 44ad, then is he liable to pay advance tax in respect of income from business covered under section 44ad?","Any person opting for the presumptive taxation scheme undersection 44ADis liable to pay whole amount of advance tax on or before 15th March of the previous year. If he fails to pay the advance tax by 15th march of previous year, he shall be liable to pay interest as persection 234C.Note: Any amount paid by way of advance tax on or before 31st day of March shall also be treated as advance tax paid during the financial year ending on that day."
395,what is the fee for filing application for tan?,Currently the fee for filing the TAN application is Rs.55/- + service tax as applicable (the application fees may change from time to time).
396,where a notice under section 142(1)/ 143(2)/ 148/ 153a/ 153c of the income-tax act has been issued to a person for an assessment year will he be ineligible from making a declaration under the scheme?,The person will only be ineligible from declaration for those assessment years for which a notice under section 142(1)/143(2)/148/153A/153C is issued and the proceeding is pending before the Assessing Officer. He is free to declare undisclosed income for other years for which no notice under above referred sections has been issued.
397,am i required to keep a copy of the return filed as proof and for how long?,"Yes, since legal proceedings under the Income-tax Act can be initiated up to four or six years (as the case may be) prior to the current financial year, you must maintain such documents at least for this period. However, in certain cases the proceedings can be initiated even after 6 years, hence, it is advised to preserve the copy of return as long as possible. Further, after introduction of the e-filing facility, it is very easy and simple to maintain the copy of return of income."
398,what are the system requirements to download and use the excel/java utility?,"The minimum system requirements needed to download and use the Return Preparation Software are: PC with 128 MB RAM, P-III processor, MS Excel, Internet connection, Internet Browser, at least 25 MB free hard disk space,, Adobe Acrobat Reader, and Windows Operating system (Win 2000 or higher version), Java Run-time Environment Version 1.6 (Beta) or above for using DSC."
399,is rental income from sub-letting chargeable to tax under the head income from house property?,"Rental income in the hands of owner is charged to tax under the head Income from house property. Rental income of a person other than the owner cannot be charged to tax under the head Income from house property. Hence, rental income received by a tenant from sub-letting cannot be charged to tax under the head Income from house property.  Such income is taxable under the head Income from other sources or profits and gains from business or profession, as the case may be."
400,"under which conditions, assessee needs to contact cpc bangalore?","Assessee needs to contact CPC for Processing related matters of Original/ Revised Income Tax Return OR Rectification, Refund/Demand OR Intimation related matters."
401,is there any minimum amount upto which tax is not deducted?,"In respect of various items liable to TDS, the Income-tax Law has prescribed a threshold limit. If the expenditure incurred/payment made during the year is below the threshold limit, then there is no requirement to deduct tax at source. Following list gives the threshold limit in respect of various items covered by TDS provisions: S.No.ParticularSectionThreshold limist1.No deduction of tax at source from salaries192If net taxable income is less than maximum amount which is not chargeable to tax (Rs. 2,50,000 for an individual, Rs. 3,00,000 for Senior Citizens and Rs. 5,00,000 for Super Senior Citizens)1A.No TDS from payment of provident fund account of an employee192AIf amount paid is less than Rs. 30,000. (Rs. 50,000 w.e.f. 1-6-2016)2.No TDS from interest paid on debentures issued by a company in which public are substantially interested. Provident interest is paid by account payee cheque to resident individual or HUF193If amount paid or payable during the financial year does not exceed Rs. 5,0003.No TDS from interest on 8% Saving (Taxable) Bonds 2003 paid to a resident persons193If amount paid or payable during the financial year does not exceed Rs. 10,0003A.No TDS from interest on 6.5% Gold bonds, 1977 or 7% Gold bonds, 1980 paid to resident individual193If a declaration is made that the nominal value of such bonds did not exceed Rs. 10,000 at any time during the previous year4.No TDS from dividend paid by account payee cheque to resident persons194If amount paid or payable during the financial year does not exceed Rs. 2,5005.No TDS from interest other than on securities paid by a banking company or co-operative bank on time deposits194AIf amount paid or payable during the financial year does not exceed Rs. 10,0006.No TDS from interest on deposit with a post office under Senior Citizens Saving Scheme Rules, 2004194AIf amount paid or payable during the financial year does not exceed Rs. 10,0007.No TDS from interest other than on securities (in any other case)194AIf amount paid or payable during the financial year does not exceed Rs. 5,0008.No TDS from interest on compensation awarded by Motor Accident Claims Tribunal194AIf amount paid or payable during the financial year does not exceed Rs. 50,0009.No TDS from Lottery / Cross Word Puzzles194BIf amount paid or payable during the financial year does not exceed Rs. 10,00010.No TDS from winnings from horse races194BBIf amount paid or payable during the financial year does not exceed Rs. 5,000 (Rs. 10,000 w.e.f. 01/06/2016)11.No TDS from sum paid or payable to contractor194Ca) If sum paid or payable to a contractor in a single payment does not exceed Rs. 30,000b) If sum paid or payable to contractor in aggregate does not exceed Rs. 75,000 during the financial year (Rs. 1,00,000 w.e.f. 01/06/2016)12.No TDS from insurance commission paid or payable during the financial year194DIf amount paid or payable during the financial year does not exceed Rs. 20,000 (Rs. 15,000 w.e.f. 01/06/2016)12ANo TDS from sum payable under a life insurance a police (including bonus) to a resident (w.e.f. 01-10-2014) person194DAIf amount paid or payable during the financial year does not exceed Rs. 1 lakh13.No TDS from payments made out of deposits under NSS194EEIf amount paid or payable during the financial year does not exceed Rs. 2,50014.No TDS from commission paid on lottery tickets194GIf amount paid or payable during the financial year does not exceed Rs. 1,000 (Rs. 15,000 w.e.f. 01/06/2016)15.No TDS from payment of commission or brokerage194HIf amount paid or payable during the financial year does not exceed Rs. 5,000 (Rs. 15,000 w.e.f. 01/06/2016). Further no tax to be deducted from commission payable by BSNL/ MTNL to their PCO Franchisees.16.No TDS from payment of rent in respect of land &building, furniture or fittings or plant and machinery194-IIf amount paid or payable during the financial year does not exceed Rs. 1,80,00017.No TDS from payment of consideration for purchase of an immovable property (other than agriculture land)194-IAIf amount paid or payable during the financial year does not exceed Rs. 50 Lakhs18.No TDS from payment of professional fees, technical fees, royalty and directors' remuneration194JIf amount paid or payable during the financial year does not exceed Rs. 30,00019.No TDS from payment of compensation on compulsory acquisition of immovable property (other than Agricultural Land)194LAIf amount paid or payable during the financial year does not exceed Rs. 2,00,000 (Rs. 2,50,000 w.e.f. 01/06/2016)20.Furnishing of quarterly return in respect of payment of interest (other than interest on securities) to residents without deduction of tax206AIf amount paid or payable during the financial year does not exceed:a) Rs.10,000 where payer is banking company or co-operative society;b) Rs.5,000 in other case"
402,"in case duplicate tan has been allotted, which tan should be used?","In case duplicate TAN(s) have been allotted to a person, then the TAN which has been used regularly should be used. The other TAN(s) should be surrendered for cancellation by using ""Form for Changes or Correction in TAN"" which can be downloaded from the website of NSDL (https://www.tin-nsdl.com)."
403,what documents will serve as proof of address in case of individuals not being a citizen of india?,"Copy of following will serve as proof of address in case of individuals not being a citizen of IndiaCopy of Passport, orCopy of Person of Indian Origin (PIO) card issued by Government of India, orCopy of Overseas Citizen of India (OCI) card issued by Government of India, orCopy of other national or citizenship Identification Number or Taxpayer Identification Number duly attested by ""Apostille"" (in respect of the countries which are signatories to the Hague Apostille Convention of 1961) or by the Indian Embassy or High Commission or Consulate in the country where the applicant is located or authorised officials of overseas branches of Scheduled Banks registered in India, orCopy of Bank account statement in the country of residence, orCopy of Non-resident External (NRE) bank account statement in India, orCopy of Certificate of Residence in India or Residential permit issued by the State Police Authorities, orCopy of Registration certificate issued by the Foreigner's Registration Office showing Indian address, orCopy of Visa granted & Copy of appointment letter or contract from Indian Company & Certificate (in original) of Indian address issued by the employer."
404,what documents will serve as proof of identity in case of individual/huf (hindu undivided family) applicants?,"Any of the following document will serve as proof of identity in case of individual applicants being Indian citizens (including those located outside India) : Copy of following :    oAadhaar Card issued by the Unique Identification Authority of India; or    oElector's photo identity card; or    oDriving License; or    oPassport; or    oRation card having photograph of the applicant; or    oArm's license; or    oPhoto identity card issued by the Central Government or State Government or Public Sector Undertaking; or    oPensioner card having photograph of the applicant; or    oCentral Government Health Service Scheme Card or Ex-Servicemen Contributory Health Scheme photo cardCertificate of identity in original signed by a Member of Parliament or Member of Legislative Assembly or Municipal                     Councilor or a Gazetted officer, as the case may be; orBank certificate in Original on letter head from the branch (alongwith name and stamp of the issuing officer) containing               duly attested photograph and bank account number of the applicant.For HUF, an affidavit made by the Karta of Hindu Undivided Family stating name, fathers name and address of all the coparceners on the date of application and copy of any of the above documents in the name of Karta of HUF is required as proof of identity. In case of Minor, any of the above mentioned documents of any of parents/guardians of such minor shall be deemed to be the relevant proof of identity for the minor applicant."
405,who can use itr  4s (sugam)?,"Form ITR  4S (SUGAM) can be used by an Individual/HUF/Firm (Other than LLP) whose total income for the year includes:(a) Business income computed as per the provisions ofsection 44ADor44AE; or; or(b) Income from salary/pension; or(c) Income from one house property (excluding cases where loss is brought forward from previous years); or(d) Income from other sources (excluding winnings from lottery and income from race horses).Further, in a case where the income of another person like spouse, minor child, etc., is to be clubbed with the income of the taxpayer, this return form can be used where income to be clubbed falls in any of the above categories."
406,what are the benefits available in respect of expenditure incurred on account of medical insurance premium/ medical expenditure to a senior citizen/very senior citizen and on account of?,"Section 80Dof the Income-tax Law gives various provisions relating to tax benefits available on account of payment of medical insurance premium and other related items. Click the following link to know about details ofsection 80Dwhich covers the details of special benefits undersection 80D available to a senior citizen and very senior citizen.. Check page 5 topic""Deduction in respect of medical insurance premium [Section 80D]""http://www.incometaxindia.gov.in/tutorials/20.%20tax%20benefits%20due%20to%20health%20insurance.pdf"
407,"how to determine the residential status of a person other than an individual, huf and company?","Every person other than an individual, HUF and company is said to be resident in India during the year, if the control and management of its affairs for that year is located wholly or partly in India."
408,who can file the return for a deceased assessee?,A legal heir can file the return in such case.
409,under the income-tax law is income from animal husbandry considered as an agricultural income?,No.
410,"when i upload my return with dsc, i get the error 'fake path and can't read the file'. why is it so?","Please do the following settings: Internet explorer Tools Internal Option Security reset the setting to medium high, close and reopen the Internet Explorer. OR Create a folder called 'fakepath' in your C drive and store the XML in the folder. On BROWSE, select this file and upload."
411,i am an agriculturist. is my income taxable?,"Agricultural income is not taxable. However, if you have non-agricultural income too, then while calculating tax on non-agricultural income, your agricultural income will be taken into account for rate purpose. For meaning of Agricultural Income refersection 2(IA) of the Income-tax Act."
412,what are the different classes of residential status prescribed under the income-tax law for a hindu undivided family (huf)?,"For the purpose of Income-tax Law, a HUF can have  any one of the following residential status:(1) Resident and ordinarily resident in India(2) Resident but not ordinarily resident in India(3) Non-residentEvery year the residential status of the taxpayer is to be determined by applying the provisions of the Income-tax Law designed in this regard (discussed later) and, hence, it may so happen that in one year the HUF would be  a resident and ordinarily resident and in the next year it may become non-resident or resident but not ordinarily resident and again in the next year its status may change or may remain same."
413,how can any change in address or details on the basis of which tan was allotted be rectified?,"If there is any change in the data provided in the application for allotment of TIN (i.e.data provide at the time of allotment of TAN), then such change is to be communicated to the Income Tax Department by intimating the change in , the ""Form for Change or Correction in TAN data"". Duly filed form should be submitted to the TIN Facilitation Centres or an online application can be made at https://www.tin-nsdl.com"
414,whether rental income could be charged to tax in the hands of a person who is not a registered owner of the property?,"Rental income from property is charged to tax under the head ""Income from house property in the hands of the owner of the property"". If a person receiving the rent is not the owner of the property, then rental income is not charged to tax under the head ""Income from house property"" (E.g.Rent received by tenant from sub-letting). In the following cases a person may not be the registered owner of the property, but he will be treated as the owner (i.e.,deemed owner) of the property and rental income from property will be charged to tax in his hands: (1) If an individual transfers his or her house property to his/her spouse (not being a transfer in connection with an agreement to live apart) or to his/her minor child (not being married daughter) without adequate consideration, then the transferor will be deemed as owner of the property.(2) Holder of impartible estate is deemed as the owner of the property comprised in the estate(3) A member of co-operative society, company or other association of persons to whom a building (or part of it) is allotted or leased under house building scheme of the society, company or association, as the case may be, is treated as deemed owner of the property.(4) A person acquiring property by satisfying the conditions of section 53A of the Transfer of Property Act, will be treated as deemed owner (although he may not be the registered owner). Section 53A of said Act prescribes following conditions:    (a)  There must be an agreement in writing.    (b)  The purchase consideration is paid or the purchaser is willing to pay it.    (c)  Purchaser has taken the possession of the property in pursuance of the agreement.(5) In case of lease of a property for a period exceeding 12 years (whether originally fixed or provision for extension exists), lessee is deemed to be the owner of the property. However, any right by way of lease from month-to-month or for a period not exceeding one year is not covered by this provision."
415,what are the working hours of cpc?,Taxpayers can contact CPC from 8:00am to 8:00pm from Monday to Friday.
416,"in case of refund, the information desired is micr/ifsc, bank a/c number and type of account. the assessee is not required to mention the name of the bank. however, this may be necessary to ensure that the refund is not credited to a wrong account due to quoting of incorrect micr/ifsc code.","As per prevalent standard banking practice, it is MICR/IFSC code and the Bank account number which uniquely determines the destination account. In case of wrong MICR/IFSC code, the refund credit will fail but would not be credited to the wrong account at all."
417,"error code 28:""for ay 2012-13: assessee mentioning gross receipt or income u/s 44ad more than rs. 60 lakhs in itr 4s""",Description:Assessee having Gross Receipt or presumptive income U/S 44AD more than Rs. 60 Lakhs cannot file ITR 4S. Kindly file relevant ITR with the new xml which will be filed in response to this communication (AY 2012-13).
418,my daughter stays in usa. she owns a house in india and has let it out. she has asked tenants to pay rent to me. she has not received any rent. is she still liable to tax? what if she transfers the house to me?,"Rental income is charged to tax in the hands of the owner of the property. Your daughter is the owner of the house and, therefore, she is liable to pay tax, even though you receive rent. If the house is transferred to you, then you will become the owner and you will have to pay Income-tax on the rental income."
419,who cannot use itr  2?,Return Form ITR - 2 cannot be used by an individual whose total income for the year includes income from Business or Profession.
420,what is capital account transaction?,"As defined inSection 2(e) of the FEMA, ""capital account transaction"" means transactions which alters the assets or liabilities, including contingent liabilities outside India, of persons resident in India or assets or liabilities, in India, of persons resident outside India and includes transactions referred to insection 6(3) of the FEMA. Transactions covered insection 6(3)of FEMA are as follows: -Transfer or issue of any foreign security by a person resident in India.Transfer or issue of any security by a person resident outside India.Transfer or issue of any security or foreign security by any branch, office or agency in India of a person resident outside India.Any borrowing or lending in foreign exchange in whatever form by whatever name called.Any borrowing or lending in rupees in whatever form or whatever name called between a person resident in India and a person resident outside India.Deposits between persons resident in India and persons resident outside India.Export, import or holding of currency or currency notes.Transfer of immovable property outside India, other than a lease not exceeding five years by a person resident in India.Acquisition or transfer of immovable property in India, other than lease  not exceeding five years by a person resident outside India.Giving of a guarantee or surety in respect of any debt, obligation or other liability incurred by a person resident in India and owed to a person resident outside India orby a person resident outside India. Note : Section 6(3) has been omitted by Finance Act, 2015 w.e.f. a date yet to be notified."
421,can i send the itr-v to cpc by registered post?,"The tax payer has to send the duly signed copy of ITR-V to ""Income Tax Department - CPC, Post Bag No - 1, Electronic City Post Office, Bangalore - 560100, Karnataka"" within 120 days of uploading the returnby Ordinary post or Speed post(without Acknowledgment)ONLY."
422,"if assessee has uploaded wrong rectification request, what is the process of correction of rectification.","Assessee can withdraw rectification within 7 days of upload, if assessee has uploaded wrong rectification request. LOGIN and GO TO 'My Account' 'Rectification status'"
423,can the payee request the payer not to deduct tax at source and to pay the amount without deduction of tax at source?,"A payee can approach to the payer for non-deduction of tax at source but for that they have to furnish a declaration in Form No. 15G/15H, as the case may be, to the payer to the effect that the tax on his estimated total income of the previous year after including the income on which tax is to be deducted will be nil.Form No. 15G is for the individual or a person (other than company or firm) and Form No. 15H is for the senior citizens.The following assessee who is in receipt of the specific incomes can approach to the payee for non-deduction of tax at source:-a)A resident individual who is in receipt of income as referred to in192A, 194or194EEif the amount of  such income does not exceed the maximum amount which is not chargeable to income-tax.b)Any person (other than a company or a firm) who is in receipt of income as referred to insection 193,194A,194DAor194-Iif the amount of such income does not exceed the maximum amount which is not chargeable to income-tax.c)A resident senior citizen ( i.e., an individual resident in India who is of the age of sixty years or more at any time during the previous year) who is in receipt of income as referred to in section192A,193,194,194A,194EE,    or194-Ior194DAAlternatively, a payee who is in receipt of income referred to insection 192,193,194,194A,194C,194D,194G,194H,194-I,194J,194LA,194LBB,194LBC, or195 can apply in Form No. 13 to the assessing officer to get a certificate authorizing the payer to deduct tax at lower rate or deduct no tax as may be appropriate. On receiving such an application, the AO may issue appropriate certificate in this regard if he is satisfied that the total income of the payee justifies the deduction of income-tax at any lower rate or nil deduction of income tax. As per Income-tax (Ninth Amendment) Rules, 2014, Certificate for non-deduction of income-tax shall be issued directly to the person responsible for deducting the tax under an advice to the payee (i.e. who made an application for issue of such certificate).Whereas, certificate of lower deduction of income-tax shall be issued to payee itself.  If AO has issued certificate for no deduction of tax or lower deduction of tax, as the case may be, then payer should deduct tax accordingly."
424,is there any benefit available in respect of re-investment of capital gain in any other capital asset?,"A taxpayer can claim exemption from certain capital gains by re-investing the capital gain into specified asset. The following table highlights the assets in respect of which the benefit of re-investment is available: Section underwhich benefitis availableGain eligible for claiming exemptionAsset in which the capital gain is to be re-invested to claim exemptionsection 54Long-term capital gain arising on transfer of residential house property.Gain to be re-invested in purchase or construction of one residential house property in India.section 54BLong-term or short-term capital gain arising on transfer of agricultural land.Gain to be re-invested in purchase of agricultural land.section 54ECLong-term capital gain arising on transfer of any capital asset.Gain to be re-invested in bonds issued by National Highway Authority of India or by the Rural Electrification Corporation Limited.Section 54EELong-term capital gain arising on transfer of any capital asset.Gain to be re-invested in units of specified fund, as may be notified by Govt. to finance start-ups.section 54FLong-term capital gain arising on transfer of any capital asset other than residential house property.Net sale consideration to be re-invested in purchase or construction of one residential house property in India.section 54DGain arising on transfer of land or building forming part of industrial undertaking which is compulsorily acquired by Government and was used for industrial purpose for a period of 2 years prior to its acquisition.Gain to be re-invested to acquire land or building for industrial purpose.section 54GGain arising on transfer of land, building, plant or machinery in order to shift an industrial undertaking from urban area to rural areaGain to be re-invested to acquire land, building, plant or machinery in order to shift the industrial undertaking from an urban area to a rural areasection 54GAGain arising on transfer of land, building, plant or machinery in order to shift an industrial undertaking from urban area to any Special Economic ZoneGain to be re-invested to acquire land, building, plant or machinery in order to shift the industrial undertaking from urban area to any Special Economic Zone.section 54GBLong-term capital gain arising on transfer of residential property (a house or a plot of land). The transfer should take place during 1stApril, 2012 and 31stMarch 2017. However, in case of investment in eligible start-up, sunset limit of 31st march 2017 is extended to 31st march 2019.The net sale consideration should be utilised for subscription in equity shares of an ""eligible company"".  W.e.f. April 1, 2017, eligible start-up is also included in definition of eligible company In order to claim the exemption on account of re-investment in various situations as discussed above, other conditions specified in the respective sections should be satisfied and the re-investment should be made within the period specified in the respective sections."
425,can a person who adopts the presumptive taxation scheme of section 44ada claim any further deduction of expenses after declaring profit @ 50% of gross receipts?,"No, a person who adopts the presumptive taxation scheme is deemed to have claimed all deduction of expenses. Any further claim of deduction is not allowed after declaring profit @ 50%."
426,"if the income of the year in which loss is incurred falls short, and taxpayer is unable to adjust entire loss, then can the taxpayer carry forward the unadjusted loss for adjustment in next year?","Many times it may happen that after making intra-head and inter-head adjustments, still the loss remains unadjusted. Such unadjusted loss can be carried forward to next year for adjustment against subsequent year(s) income. Separate provisions have been framed under the Income-tax Law for carry forward of loss under different heads of income (refer next FAQ for more provisions in this regard)."
427,"after making the application for allotment of tan in form 49b, how to know the status of the application?","The status of TAN application can he checked by using the ""Track your PAN/TAN Application Status"" from www.incometaxindia.gov.in or https://www.tin-nsdl.com."
428,what are the due dates for filing returns of income/loss?,Due date of filing of return of incomeSr. No.Status of the taxpayerDue date1Any company other than a company who is required to furnish a report in Form No. 3CEB under section 92E (i.e. other than covered in 2 below)September 30 of the assessment year2Any person (may be corporate/non-corporate) who is required to furnish a report in Form No. 3CEB under section 92ENovember 30 of the assessment year3Any person (other than a company) whose accounts are to be audited under the Income-tax Law or under any other lawSeptember 30 of the assessment year4A working partner of a firm whose accounts are required to be audited under this Act or under any other law.September 30 of the assessment year5Any other assesseeJuly 31 of the assessment year .
429,how and where can i get a digital signature certificate (dsc)?,"The Information Technology Act, 2000 provides for use of Digital Signatures on the documents submitted in electronic form in order to ensure the security and authenticity of the documents filed electronically. Certification Agencies are appointed by the office of the Controller of Certification Agencies (CCA) under the provisions of IT Act, 2000. There are a total of eight Certification Agencies authorized by the CCA to issue the Digital Signature Certificates. They are listed as below:"
430,my bank account number has changed. i want to change the bank account number which i mentioned in my income tax return.,"You can only change your Bank Account Number if you had a refund failure i.e your IT Return is processed and a refund is generated for you but you did not receive it.If you wish to change the Bank Account Number for Refund failure case, thenLOGIN and GO TO 'My Account' 'Refund re-issue request'. Select the mode through which you wish to receive the refund- ECS or Cheque. Enter the new Bank Account Number and provide address details. Submit the request.Once the request is submitted, your Bank Account Number is updated with us."
431,"is it necessary to apply for different tan if a deductor has to deduct tax from different types of payments like salary, interest, dividend, commission, etc.?",No. TAN once allotted can be used for all type of deductions. It can also be used in case tax is being collected at source.
432,is a retired senior citizen granted exemption from payment of advance tax?,"As persection 208, every person whose estimated tax liability for the year is Rs. 10,000 or more, shall pay his tax in advance, in the form of ""advance tax"". However,section 208gives relief from payment of advance tax to a retired senior citizen. As persection 208 a resident senior citizen (i.e., an individual of the age of 60 years or above during the relevant financial year) not having any income from business or profession, is not liable to pay advance tax."
433,what is the procedure adopted for making the assessment under section 144 i.e. best judgment assessment?,"Assessment undersection 144(called best judgment assessment) is an assessment carried out as per the best judgment of the Assessing Officer. The other procedures in this regard are as follows:If the circumstances justifying best judgment assessment (discussed in previous FAQ) are satisfied, then the Assessing Officer will serve a notice on the taxpayer to show cause why the assessment should not be completed to the best of his judgment.No notice as given above is required in a case where a notice undersection 142(1) has been issued prior to the making of an assessment undersection 144.If the Assessing Officer is not satisfied by the arguments of the taxpayer and he has reason to believe that the case demands a best judgment, then he will proceed to carry out the assessment as per best of his knowledge.If the criteria of the best judgment assessment are satisfied, then after taking into account all relevant material which the Assessing Officer has gathered, and after giving the taxpayer an opportunity of being heard, the Assessing Officer shall make the assessment of the total income or loss to the best of his judgment and determine the sum payable by the taxpayer on the basis of such assessment."
434,what incomes are deemed to have accrue or arise in india?,"Following incomes are treated as incomes deemed to have accrued or arisen in India:Capital gain arising on transfer of property situated in India.Income from business connection in India.Income from salary in respect of services rendered in India.Salary received by an Indian national from Government of India in respect of service rendered outside India. However, allowances and perquisites are exempt in this case.Income from any property, asset or other source of income located in India.Dividend paid by an Indian company.Interest received from Government of India.Interest received from a resident is treated as income deemed to have accrued or arisen in India in all cases, except where such interest is earned in respect of funds borrowed by the resident and used by resident for carrying on business/profession outside India or is in respect of funds borrowed by the resident and is used for earning income from any source outside India.Interest received from a non-resident is treated as income deemed to accrue or arise in India if such interest is in respect of funds borrowed by the non-resident for carrying on any business/profession in India.Royalty/fees for technical services received from Government of India.Royalty/fees for technical services received from resident is treated as income deemed to have accrued or arisen in India in all cases, except where such royalty/fees relates to business/profession/other source of income carried on by the payer outside India.Royalty/fees for technical services received from non-resident is treated as income deemed to have accrued or arisen in India if such royalty/fees is for business/profession/other source of income carried by the payer in India."
